#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
367,Jordan Harris(D),Swift Current Broncos,52,1,8,9,0.17,29,0,0
368,Isaac Schacher(D),totals,60,1,8,9,0.15,48,22,0
,,Victoria Royals,35,1,6,7,0.2,23,13,0
,,Regina Pats,25,0,2,2,0.08,25,9,0
369,Evan Wardley(D),Seattle Thunderbirds,61,1,8,9,0.15,151,-5,0
370,Kevin Davis(D),Everett Silvertips,65,1,8,9,0.14,9,-11,0
,.,,,,,,,,,0
371,Raymond Grewal(D),Prince George Cougars,56,0,9,9,0.16,36,-17,0
372,Edson Harlacher(D),Kamloops Blazers,71,0,9,9,0.13,44,-27,0
373,Rodney Southam(RW/C),Tri-City Americans,52,5,3,8,0.15,37,-20,0
374,Linden Penner(RW),totals,40,4,4,8,0.2,37,4,0
,,Everett Silvertips,1,0,0,0,0,4,0,0
,,Calgary Hitmen,39,4,4,8,0.21,33,4,0
375,Craig Leverton(LW),Prince Albert Raiders,50,4,4,8,0.16,31,-13,0
376,Mitch Elliot(LW),Seattle Thunderbirds,66,4,4,8,0.12,128,-16,0
377,Ethan Price(RW),Portland Winterhawks,67,4,4,8,0.12,30,-9,0
378,Devon McAndrews(LW),Tri-City Americans,52,3,5,8,0.15,53,-15,0
379,Austin Glover(C/RW),Kelowna Rockets,24,2,6,8,0.33,10,3,0
380,Ryan Gagnon(D),Victoria Royals,66,2,6,8,0.12,55,10,0
,.,,,,,,,,,0
381,Brett Roulston(LW),Prince George Cougars,48,1,7,8,0.17,75,-19,0
382,Kord Pankewicz(D),Brandon Wheat Kings,35,0,8,8,0.23,53,1,0
383,Chase Harrison(D),Regina Pats,42,0,8,8,0.19,14,11,0
384,Jesse Shynkaruk(LW),Kamloops Blazers,67,4,3,7,0.1,20,-24,0
385,Eric Krienke(LW),Kamloops Blazers,50,3,4,7,0.14,9,-10,0
386,Marc McCoy(C),Regina Pats,36,2,5,7,0.19,59,-14,0
387,Jeff Hubic(LW/D),totals,41,1,6,7,0.17,38,-3,0
,,Kootenay Ice,27,1,5,6,0.22,17,5,0
,,Tri-City Americans,14,0,1,1,0.07,21,-8,0
401,Terrell Draude(C),Calgary Hitmen,47,1,6,7,0.15,9,1,0
402,Reid Zalitach(D),totals,47,1,6,7,0.15,36,-15,0
,,Vancouver Giants,9,0,0,0,0,4,-5,0
,,Moose Jaw Warriors,38,1,6,7,0.18,32,-10,0
403,Meyer Nell(LW),Red Deer Rebels,49,1,6,7,0.14,21,-6,0
404,Joel Topping(D),Lethbridge Hurricanes,25,0,7,7,0.28,10,-12,0
405,Peter Kosterman(D),Prince George Cougars,45,0,7,7,0.16,43,-4,0
406,Spenser Jensen(D),totals,58,0,7,7,0.12,60,-10,0
,,Medicine Hat Tigers,28,0,3,3,0.11,31,-8,0
,,Moose Jaw Warriors,30,0,4,4,0.13,29,-2,0
407,Kolton Dixon(D),totals,67,0,7,7,0.1,132,-3,0
,,Victoria Royals,4,0,1,1,0.25,4,-1,0
,,Red Deer Rebels,63,0,6,6,0.1,128,-2,0
408,Martin Bobos(D),Prince George Cougars,67,0,7,7,0.1,57,-11,0
409,Calvin Spencer(RW),Seattle Thunderbirds,32,3,3,6,0.19,17,-5,0
410,Blair Oneschuk(C),Spokane Chiefs,38,3,3,6,0.16,28,-5,0
411,Cal Babych(RW),Calgary Hitmen,41,3,3,6,0.15,11,1,0
412,Connor Honey(RW),Seattle Thunderbirds,7,2,4,6,0.86,22,0,0
413,Luca Leone(RW),Vancouver Giants,33,2,4,6,0.18,6,-2,0
414,Alexander Chirva(C),Moose Jaw Warriors,58,2,4,6,0.1,15,-4,0
415,Josh Thrower(D),totals,62,2,4,6,0.1,89,-6,0
,,Calgary Hitmen,34,2,4,6,0.18,43,3,0
,,Tri-City Americans,28,0,0,0,0,46,-9,0
416,Darcy DeRoose(LW/C),Everett Silvertips,35,1,5,6,0.17,37,-9,0
417,Kirk Johnson(D),Moose Jaw Warriors,61,1,5,6,0.1,73,-20,0
418,Joe Gatenby(D),Kelowna Rockets,43,0,6,6,0.14,20,7,0
419,Wil Tomchuk(D),totals,51,0,6,6,0.12,33,1,0
,,Tri-City Americans,25,0,1,1,0.04,17,4,0
,,Prince George Cougars,26,0,5,5,0.19,16,-3,0
420,David Soltes(RW),Prince George Cougars,15,4,1,5,0.33,10,-10,0
421,Kyle O'Connor(C/RW),Kootenay Ice,42,3,2,5,0.12,4,-11,0
422,Reid Nemeth(C/LW),Lethbridge Hurricanes,58,3,2,5,0.09,9,-25,0
423,Austin Adamson(RW),Saskatoon Blades,53,2,3,5,0.09,11,-14,0
424,Landon Welykholowa(C),totals,34,1,4,5,0.15,8,-6,0
,,Victoria Royals,18,1,0,1,0.06,4,-6,0
,,Calgary Hitmen,16,0,4,4,0.25,4,0,0
425,Adam Hascic(LW),Spokane Chiefs,40,1,4,5,0.13,41,-2,0
426,Nicolais Gomerich(C/RW),Saskatoon Blades,44,1,4,5,0.11,21,-9,0
427,Stephen Hak(D),Regina Pats,16,0,5,5,0.31,7,0,0
428,Jesse Mills(D),Edmonton Oil Kings,35,0,5,5,0.14,15,8,0
429,Matt Thomas(D),totals,66,0,5,5,0.08,29,-40,0
,,Kootenay Ice,11,0,1,1,0.09,4,-1,0
,,Kamloops Blazers,55,0,4,4,0.07,25,-39,0
430,Luke Harrison(RW),totals,39,4,0,4,0.1,19,-12,0
,,Victoria Royals,23,3,0,3,0.13,15,-1,0
,,Kamloops Blazers,16,1,0,1,0.06,4,-11,0
431,Alex Mowbray(RW),Medicine Hat Tigers,35,3,1,4,0.11,11,-4,0
432,Rob Trzonkowski(RW),Vancouver Giants,36,3,1,4,0.11,18,-12,0
433,Cavin Leth(C),Swift Current Broncos,48,3,1,4,0.08,55,-1,0
434,Michal Holub(RW),totals,29,2,2,4,0.14,12,-7,0
,,Seattle Thunderbirds,16,1,2,3,0.19,6,2,0
,,Lethbridge Hurricanes,13,1,0,1,0.08,6,-9,0
435,Bobby Zinkan(D),Swift Current Broncos,52,2,2,4,0.08,60,9,0
436,Kristian Khenkel(D),Lethbridge Hurricanes,29,1,3,4,0.14,21,-21,0
437,Shaun Dosanjh(D),Vancouver Giants,45,1,3,4,0.09,32,-5,0
438,Austin Adam(D),Everett Silvertips,50,1,3,4,0.08,34,-14,0
439,Griffin Mumby(D),Regina Pats,55,1,3,4,0.07,31,0,0
440,Dalton Yorke(D),Kelowna Rockets,40,0,4,4,0.1,72,3,0
441,Kade Jensen(D),Lethbridge Hurricanes,46,0,4,4,0.09,55,-19,0
442,Tyler Brown(D),Moose Jaw Warriors,52,0,4,4,0.08,28,-6,0
443,Micheal Zipp(D),totals,52,0,4,4,0.08,38,-8,0
,,Everett Silvertips,23,0,1,1,0.04,25,-3,0
,,Calgary Hitmen,29,0,3,3,0.1,13,-5,0
444,Dmitri Osipov(D),Vancouver Giants,54,3,0,3,0.06,48,-16,0
445,Trace Elson(RW),Vancouver Giants,15,2,1,3,0.2,11,-8,0
446,Andreas Eder(RW/C),Vancouver Giants,19,2,1,3,0.16,2,-5,0
447,Tyson Predinchuk(RW/D),Portland Winterhawks,20,2,1,3,0.15,2,2,0
448,Lance Yaremchuk(C/LW),Prince Albert Raiders,15,1,2,3,0.2,0,0,0
449,Mitchell Friesen(LW),Kamloops Blazers,21,1,2,3,0.14,4,-7,0
450,Kevin Wolf(D),Seattle Thunderbirds,27,1,2,3,0.11,12,-7,0
451,Jeff Rayman(D),Spokane Chiefs,36,1,2,3,0.08,23,-4,0
452,Dakota Odgers(C/LW),Swift Current Broncos,40,1,2,3,0.08,71,-3,0
453,Maximilian Kammerer(C/LW),Regina Pats,40,1,2,3,0.08,14,-7,0
454,Jacob Cardiff(LW/RW),Spokane Chiefs,41,1,2,3,0.07,23,-2,0
455,Henrik Nyberg(RW/LW),Kelowna Rockets,21,0,3,3,0.14,8,2,0
456,Shaun McPherson(D/LW),Portland Winterhawks,29,0,3,3,0.1,24,-1,0
457,Tyler Dea(D),totals,35,0,3,3,0.09,17,-13,0
,,Prince Albert Raiders,11,0,2,2,0.18,2,1,0
,,Saskatoon Blades,24,0,1,1,0.04,15,-14,0
458,Jake Kohlhauser(D),totals,41,0,3,3,0.07,23,1,0
,,Vancouver Giants,1,0,0,0,0,0,-2,0
,,Victoria Royals,40,0,3,3,0.08,23,3,0
459,Matthew Gelinas(LW),Tri-City Americans,42,0,3,3,0.07,47,-8,0
460,Jordan Steenbergen(D),Kootenay Ice,49,0,3,3,0.06,59,-6,0
461,Zack Gonek(F),Prince George Cougars,55,0,3,3,0.05,102,-9,0
462,Stephen Shmoorkoff(D),totals,58,0,3,3,0.05,60,-3,0
,,Edmonton Oil Kings,16,0,0,0,0,26,-1,0
,,Swift Current Broncos,42,0,3,3,0.07,34,-2,0
463,Devan Fafard(D),Red Deer Rebels,69,0,3,3,0.04,159,-16,0
464,Nolan Reid(D),Saskatoon Blades,2,1,1,2,1,0,-1,0
465,Jordan Davies(D),Tri-City Americans,7,1,1,2,0.29,6,1,0
466,Braden Oleksyn(RW/LW),totals,17,1,1,2,0.12,20,3,0
,,Calgary Hitmen,7,0,0,0,0,2,2,0
,,Victoria Royals,10,1,1,2,0.2,18,1,0
467,Tyler Robertson(LW),Edmonton Oil Kings,26,1,1,2,0.08,7,-2,0
468,Brandon Potomak(LW/D),Moose Jaw Warriors,30,1,1,2,0.07,8,-7,0
469,Austin Douglas(D),totals,35,1,1,2,0.06,49,-14,0
,,Seattle Thunderbirds,13,0,1,1,0.08,8,-3,0
,,Kamloops Blazers,22,1,0,1,0.05,41,-11,0
470,Jake Kryski(LW/C),Kamloops Blazers,4,0,2,2,0.5,0,-2,0
471,Kevin Pochuk(D),totals,10,0,2,2,0.2,8,-3,0
,,Saskatoon Blades,5,0,0,0,0,6,-2,0
,,Moose Jaw Warriors,5,0,2,2,0.4,2,-1,0
472,Tanner Lishchynsky(D),Prince George Cougars,26,0,2,2,0.08,10,-3,0
473,Brady Reagan(D),Regina Pats,27,0,2,2,0.07,20,2,0
474,Mitchell Walter(RW),Edmonton Oil Kings,29,0,2,2,0.07,55,4,0
475,Carter Amson(LW),Lethbridge Hurricanes,32,0,2,2,0.06,24,-15,0
476,Connor Clouston(D),Kamloops Blazers,51,0,2,2,0.04,61,-2,0
477,Morgan Geekie(C/RW),Tri-City Americans,1,1,0,1,1,0,-1,0
478,Tanner Wishnowski(LW),Kelowna Rockets,1,1,0,1,1,0,1,0
479,Nolan Patrick(C/RW),Brandon Wheat Kings,3,1,0,1,0.33,0,3,0
480,Mason McCarty(RW),Red Deer Rebels,5,1,0,1,0.2,0,2,0
481,Matt Dykstra(LW/C),Victoria Royals,6,1,0,1,0.17,0,1,0
482,Dane Schioler(RW),Regina Pats,7,1,0,1,0.14,0,-2,0
483,Carson Samoridny(RW),Regina Pats,10,1,0,1,0.1,15,-4,0
484,Earl Webb(RW),Red Deer Rebels,13,1,0,1,0.08,0,0,0
485,Christian Stockl(RW),Red Deer Rebels,16,1,0,1,0.06,7,-6,0
486,Tate Coughlin(RW),Kelowna Rockets,1,0,1,1,1,2,1,0
487,Davis Koch(RW),Edmonton Oil Kings,2,0,1,1,0.5,0,1,0
488,Dominic Thom(D),Brandon Wheat Kings,2,0,1,1,0.5,0,3,0
489,Carter Cochrane(D),Everett Silvertips,2,0,1,1,0.5,5,-3,0
490,Evan Fiala(D),Spokane Chiefs,2,0,1,1,0.5,2,1,0
491,Evan Morden(D),Prince Albert Raiders,3,0,1,1,0.33,0,3,0
492,Matt Barberis(D),Vancouver Giants,3,0,1,1,0.33,0,1,0
